reward,steps,epsilon,reward_ma,steps_ma
-16.179999999999975,302,0.22007483514733558,,
0.7400000000000007,205,0.07875931641927113,,
-1.8999999999999984,400,0.05,,
-8.779999999999987,400,0.05,,
0.8000000000000009,172,0.05,,
0.4400000000000004,264,0.05,,
0.6900000000000022,400,0.05,,
-2.9800000000000013,400,0.05,,
-6.789999999999977,400,0.05,,
-0.5199999999999989,400,0.05,,
-0.7099999999999989,400,0.05,,
-2.0599999999999996,400,0.05,,
-1.1299999999999986,400,0.05,,
-0.009999999999998233,400,0.05,,
0.9300000000000026,400,0.05,,
-0.6899999999999977,400,0.05,,
-5.999999999999984,400,0.05,,
-5.049999999999984,400,0.05,,
-0.9799999999999992,400,0.05,,
-4.79999999999999,400,0.05,,
-0.14999999999999702,400,0.05,,
-0.3999999999999986,400,0.05,,
-1.6499999999999984,400,0.05,,
-0.48999999999999877,400,0.05,,
-0.939999999999999,400,0.05,,
-1.569999999999999,400,0.05,,
-0.6999999999999995,400,0.05,,
-2.589999999999999,400,0.05,,
1.280000000000003,400,0.05,,
-1.8599999999999997,400,0.05,,
-1.0099999999999987,400,0.05,,
-2.139999999999999,400,0.05,,
-0.4999999999999989,400,0.05,,
-0.5799999999999992,400,0.05,,
-0.369999999999999,400,0.05,,
-2.329999999999999,400,0.05,,
-0.9899999999999991,400,0.05,,
-1.0999999999999996,400,0.05,,
-0.9299999999999993,400,0.05,,
-0.16999999999999793,400,0.05,,
-2.9399999999999986,400,0.05,,
-0.35999999999999854,400,0.05,,
-1.399999999999999,400,0.05,,
-1.529999999999999,269,0.05,,
-1.1599999999999993,400,0.05,,
-0.4499999999999983,400,0.05,,
-1.8199999999999976,400,0.05,,
-0.019999999999997353,400,0.05,,
0.1500000000000019,400,0.05,,
1.1600000000000024,400,0.05,-1.6507999999999967,384.24
-0.8399999999999986,400,0.05,-1.3439999999999972,386.2
-1.6199999999999997,400,0.05,-1.3911999999999975,390.1
-2.8599999999999985,400,0.05,-1.4103999999999974,390.1
0.6300000000000009,323,0.05,-1.2221999999999975,388.56
-2.5600000000000005,400,0.05,-1.2893999999999977,393.12
-5.689999999999981,400,0.05,-1.411999999999997,395.84
-2.6,400,0.05,-1.4777999999999971,395.84
-3.0999999999999983,400,0.05,-1.4801999999999973,395.84
-0.19999999999999996,341,0.05,-1.3483999999999978,394.66
2.7700000000000014,158,0.05,-1.2825999999999977,389.82
2.510000000000001,83,0.05,-1.2181999999999977,383.48
-3.459999999999993,400,0.05,-1.2461999999999973,383.48
-5.599999999999986,400,0.05,-1.3355999999999972,383.48
-4.659999999999982,400,0.05,-1.428599999999997,383.48
-4.439999999999985,400,0.05,-1.5359999999999965,383.48
-1.46,400,0.05,-1.5513999999999968,383.48
-6.1799999999999695,400,0.05,-1.5549999999999964,383.48
-2.78,400,0.05,-1.5095999999999967,383.48
-1.2699999999999998,400,0.05,-1.5153999999999967,383.48
-2.009999999999999,400,0.05,-1.459599999999997,383.48
-2.8199999999999985,400,0.05,-1.512999999999997,383.48
-3.699999999999991,400,0.05,-1.5789999999999966,383.48
-3.0499999999999985,400,0.05,-1.6069999999999967,383.48
-0.5699999999999992,400,0.05,-1.6085999999999967,383.48
-2.679999999999999,400,0.05,-1.6433999999999966,383.48
-0.43999999999999884,400,0.05,-1.6207999999999967,383.48
-2.549999999999999,400,0.05,-1.6577999999999968,383.48
-0.14999999999999925,400,0.05,-1.6089999999999969,383.48
-0.7899999999999991,400,0.05,-1.650399999999997,383.48
-0.5399999999999988,400,0.05,-1.623999999999997,383.48
-2.5699999999999985,400,0.05,-1.6551999999999967,383.48
0.12000000000000188,400,0.05,-1.6099999999999968,383.48
-0.49999999999999856,400,0.05,-1.6099999999999965,383.48
0.1100000000000021,400,0.05,-1.5961999999999967,383.48
-0.03999999999999759,400,0.05,-1.589599999999997,383.48
-2.989999999999998,400,0.05,-1.602799999999997,383.48
-1.6799999999999986,400,0.05,-1.6165999999999965,383.48
-1.319999999999999,400,0.05,-1.6209999999999969,383.48
-0.6099999999999984,400,0.05,-1.6145999999999967,383.48
0.2300000000000002,243,0.05,-1.606599999999997,380.34
-4.759999999999987,400,0.05,-1.6429999999999967,380.34
-1.5999999999999992,400,0.05,-1.6677999999999966,380.34
-2.1599999999999993,400,0.05,-1.6829999999999965,380.34
-0.7099999999999991,400,0.05,-1.6665999999999965,382.96
-0.1799999999999995,390,0.05,-1.6469999999999965,382.76
-2.28,400,0.05,-1.6835999999999964,382.76
-3.269999999999997,400,0.05,-1.7125999999999966,382.76
-4.859999999999987,400,0.05,-1.8093999999999963,382.76
-3.209999999999997,400,0.05,-1.8765999999999963,382.76
-3.0999999999999983,400,0.05,-1.9617999999999964,382.76
-1.8399999999999985,400,0.05,-1.9817999999999965,382.76
-1.379999999999999,400,0.05,-1.9769999999999965,382.76
-0.20999999999999752,400,0.05,-1.9239999999999964,382.76
0.4800000000000022,400,0.05,-1.9269999999999963,384.3
-0.7299999999999991,400,0.05,-1.8903999999999963,384.3
-2.5599999999999996,400,0.05,-1.8277999999999965,384.3
-1.7599999999999998,400,0.05,-1.8109999999999966,384.3
-1.5599999999999996,400,0.05,-1.7801999999999967,384.3
-4.469999999999992,400,0.05,-1.8655999999999964,385.48
-1.2199999999999995,400,0.05,-1.9453999999999962,390.32
-1.7199999999999986,400,0.05,-2.0299999999999963,396.66
-2.99,400,0.05,-2.0205999999999964,396.66
-0.9099999999999979,400,0.05,-1.926799999999997,396.66
-0.9399999999999995,400,0.05,-1.8523999999999972,396.66
-4.259999999999996,400,0.05,-1.8487999999999973,396.66
-1.669999999999999,400,0.05,-1.8529999999999973,396.66
-1.4500000000000006,400,0.05,-1.758399999999998,396.66
-3.3899999999999957,400,0.05,-1.770599999999998,396.66
-1.459999999999999,400,0.05,-1.774399999999998,396.66
-1.6799999999999997,400,0.05,-1.767799999999998,396.66
-3.2899999999999965,400,0.05,-1.777199999999998,396.66
-1.5499999999999978,400,0.05,-1.7341999999999982,396.66
-2.0799999999999983,400,0.05,-1.714799999999998,396.66
-0.6199999999999981,400,0.05,-1.7157999999999978,396.66
-0.6599999999999991,400,0.05,-1.6753999999999982,396.66
-3.379999999999999,400,0.05,-1.7341999999999982,396.66
1.0600000000000003,331,0.05,-1.6619999999999981,395.28
-1.439999999999999,400,0.05,-1.687799999999998,395.28
-3.299999999999999,400,0.05,-1.7379999999999978,395.28
-0.8999999999999999,400,0.05,-1.745199999999998,395.28
2.6400000000000023,395,0.05,-1.6409999999999982,395.18
2.100000000000001,110,0.05,-1.601399999999998,389.38
-3.089999999999997,400,0.05,-1.6531999999999982,389.38
-4.099999999999986,400,0.05,-1.7373999999999978,389.38
0.24999999999999978,388,0.05,-1.7315999999999976,389.14
1.9700000000000004,116,0.05,-1.6323999999999979,383.46
2.1900000000000013,281,0.05,-1.554999999999998,381.08
-2.6299999999999994,400,0.05,-1.5811999999999977,381.08
-3.07,400,0.05,-1.6303999999999979,381.08
-2.3,400,0.05,-1.680999999999998,384.22
-3.189999999999999,400,0.05,-1.6495999999999982,384.22
-3.259999999999997,400,0.05,-1.682799999999998,384.22
0.8600000000000012,218,0.05,-1.622399999999998,380.58
2.2200000000000006,151,0.05,-1.5637999999999979,375.6
3.0000000000000013,91,0.05,-1.5001999999999982,369.62
-2.969999999999999,400,0.05,-1.513999999999998,369.62
2.9500000000000015,69,0.05,-1.3895999999999982,363.0
-0.8799999999999992,400,0.05,-1.3099999999999983,363.0
1.3700000000000008,309,0.05,-1.2183999999999984,361.18
0.08000000000000207,400,0.05,-1.1547999999999985,361.18
-0.28999999999999915,400,0.05,-1.1237999999999984,361.18
-3.879999999999989,400,0.05,-1.1737999999999982,361.18
-2.17,400,0.05,-1.2129999999999983,361.18
0.07000000000000206,400,0.05,-1.2211999999999983,361.18
-4.39999999999999,400,0.05,-1.2945999999999982,361.18
-3.3599999999999937,400,0.05,-1.310599999999998,361.18
-1.9899999999999993,400,0.05,-1.315199999999998,361.18
0.2500000000000022,400,0.05,-1.278999999999998,361.18
1.6400000000000015,325,0.05,-1.156799999999998,359.68
-4.289999999999987,400,0.05,-1.2181999999999977,359.68
-2.1599999999999993,400,0.05,-1.2269999999999976,359.68
-2.9399999999999995,400,0.05,-1.2259999999999978,359.68
-2.8200000000000003,400,0.05,-1.2641999999999978,359.68
-5.009999999999989,400,0.05,-1.3455999999999977,359.68
-3.2299999999999964,400,0.05,-1.3249999999999977,359.68
-4.049999999999992,400,0.05,-1.3725999999999974,359.68
-4.419999999999982,400,0.05,-1.431999999999997,359.68
-1.1599999999999988,400,0.05,-1.3873999999999973,359.68
0.6600000000000013,358,0.05,-1.344999999999997,358.84
-0.9999999999999984,400,0.05,-1.331399999999997,358.84
-2.63,400,0.05,-1.3181999999999972,358.84
-2.289999999999999,400,0.05,-1.3329999999999973,358.84
-3.9499999999999944,400,0.05,-1.3703999999999972,358.84
-1.4099999999999995,400,0.05,-1.3861999999999972,358.84
-3.7899999999999903,400,0.05,-1.4487999999999968,358.84
-3.9899999999999896,400,0.05,-1.4609999999999967,358.84
-0.3199999999999985,400,0.05,-1.4885999999999968,360.22
-2.1099999999999994,400,0.05,-1.5019999999999967,360.22
-5.919999999999983,400,0.05,-1.5543999999999967,360.22
-3.089999999999999,400,0.05,-1.5981999999999965,360.22
-4.339999999999989,400,0.05,-1.7377999999999962,360.32
-3.8299999999999894,400,0.05,-1.8563999999999963,366.12
-3.4299999999999957,400,0.05,-1.863199999999996,366.12
0.040000000000002256,400,0.05,-1.7803999999999962,366.12
-2.4299999999999997,400,0.05,-1.8339999999999963,366.36
-4.04999999999999,400,0.05,-1.954399999999996,372.04
-1.65,400,0.05,-2.031199999999996,374.42
-3.5399999999999947,400,0.05,-2.049399999999996,374.42
-1.379999999999999,400,0.05,-2.015599999999996,374.42
-0.6999999999999988,400,0.05,-1.9835999999999958,374.42
-3.3799999999999963,400,0.05,-1.9873999999999958,374.42
-0.10999999999999832,400,0.05,-1.924399999999996,374.42
-2.9999999999999982,400,0.05,-2.001599999999996,378.06
-3.9599999999999915,400,0.05,-2.125199999999996,383.04
-3.4399999999999924,400,0.05,-2.253999999999996,389.22
-3.1099999999999977,400,0.05,-2.2567999999999957,389.22
-1.549999999999999,400,0.05,-2.346799999999996,395.84
-1.4900000000000002,400,0.05,-2.358999999999996,395.84
-1.469999999999999,400,0.05,-2.4157999999999955,397.66
-1.7999999999999985,400,0.05,-2.453399999999996,397.66
-2.0999999999999988,400,0.05,-2.4895999999999954,397.66
-3.8999999999999937,400,0.05,-2.489999999999996,397.66
-3.4899999999999944,400,0.05,-2.516399999999996,397.66
-3.7499999999999893,400,0.05,-2.592799999999995,397.66
-0.8499999999999988,400,0.05,-2.5217999999999954,397.66
-0.049999999999997824,400,0.05,-2.4555999999999956,397.66
-4.729999999999988,400,0.05,-2.5103999999999957,397.66
-2.379999999999998,400,0.05,-2.5629999999999957,397.66
-5.809999999999992,400,0.05,-2.7119999999999953,399.16
-3.569999999999999,400,0.05,-2.697599999999996,399.16
-1.4599999999999995,400,0.05,-2.6835999999999958,399.16
0.4800000000000024,400,0.05,-2.6151999999999953,399.16
1.3100000000000027,400,0.05,-2.5325999999999955,399.16
-0.14999999999999813,400,0.05,-2.4353999999999956,399.16
-0.41999999999999815,400,0.05,-2.379199999999996,399.16
-1.0899999999999987,400,0.05,-2.319999999999996,399.16
-1.529999999999999,400,0.05,-2.2621999999999964,399.16
-2.8599999999999968,400,0.05,-2.2961999999999962,399.16
-2.2699999999999987,400,0.05,-2.354799999999996,400.0
0.6000000000000028,400,0.05,-2.322799999999996,400.0
0.060000000000001164,400,0.05,-2.2689999999999966,400.0
0.9000000000000017,400,0.05,-2.205199999999996,400.0
-0.7399999999999987,400,0.05,-2.1409999999999965,400.0
-1.8399999999999983,400,0.05,-2.1495999999999964,400.0
1.2200000000000006,228,0.05,-2.049399999999997,396.56
-2.42,400,0.05,-2.0179999999999967,396.56
-0.6599999999999986,400,0.05,-2.024799999999997,396.56
-0.5599999999999983,400,0.05,-1.9937999999999965,396.56
-3.1099999999999977,400,0.05,-1.9375999999999969,396.56
1.3000000000000065,400,0.05,-1.8497999999999968,396.56
0.510000000000002,400,0.05,-1.7527999999999968,396.56
0.27000000000000157,400,0.05,-1.670799999999997,396.56
-0.519999999999998,400,0.05,-1.6125999999999974,396.56
-3.329999999999997,400,0.05,-1.679999999999997,396.56
-3.06,400,0.05,-1.692599999999997,396.56
-2.1199999999999997,400,0.05,-1.6539999999999975,396.56
-0.3499999999999983,400,0.05,-1.6279999999999972,396.56
-3.0799999999999983,400,0.05,-1.6187999999999974,396.56
2.590000000000001,117,0.05,-1.5393999999999972,390.9
-5.189999999999982,400,0.05,-1.629199999999997,390.9
-0.4800000000000002,319,0.05,-1.5711999999999973,389.28
-3.339999999999997,400,0.05,-1.6357999999999973,389.28
0.2500000000000022,400,0.05,-1.570799999999997,389.28
-0.3999999999999986,400,0.05,-1.4995999999999972,389.28
-3.0200000000000005,400,0.05,-1.4911999999999972,389.28
-0.07999999999999785,400,0.05,-1.4305999999999974,389.28
-2.0899999999999994,400,0.05,-1.4413999999999974,389.28
-1.679999999999999,400,0.05,-1.4451999999999972,389.28
-1.8399999999999999,400,0.05,-1.4525999999999974,389.28
-2.49,400,0.05,-1.4663999999999975,389.28
-1.3099999999999992,400,0.05,-1.4505999999999974,389.28
-2.139999999999999,400,0.05,-1.4153999999999973,389.28
-3.049999999999999,400,0.05,-1.4065999999999976,389.28
0.6400000000000001,349,0.05,-1.3187999999999978,388.26
1.8000000000000003,210,0.05,-1.2657999999999978,384.46
0.1900000000000015,400,0.05,-1.260999999999998,384.46
